blind_id,call_id,item_id,condition,model,run,task_verb,score,completion_tokens
B0083,dcb9cce4-228b-4435-8d92-456e4112ab85,HIS-010,A,gpt-4o,3,compare,2,488
B0084,7c986dbb-e753-4861-81f5-16b398d16cb4,HIS-005,C,gpt-4o,2,compare,0,611
B0085,6ead77b4-547c-4917-8717-585464e9720e,HIS-001,B,gemini-2.0-flash,2,describe,0,338
B0086,d8458ed9-2e6b-4290-9ff6-fdd082b71844,HIS-006,A,gpt-4o,2,describe,0,340
B0087,3fbf1e67-abe9-476d-92c7-d9b9391f02f7,HIS-004,B,gpt-4o,3,summarize,0,74
B0088,5de8af1d-4674-4c70-974b-7e2de8cd4546,HIS-007,C,claude-sonnet-4.5,1,explain,0,331
B0089,c5d8a809-7eaa-416c-a6a1-577eb9e67725,HIS-008,C,claude-sonnet-4.5,1,write,0,317
B0090,a4d7327c-6a0b-4d42-a985-0ce25d30c4c3,HIS-004,B,gpt-4o,1,summarize,0,74
B0091,b067d1d0-33d9-40d8-8d77-0eb12aa96437,HIS-008,C,gemini-2.0-flash,1,write,0,380
B0092,10382319-63d9-4997-a2a5-ab00e3c744d9,HIS-008,B,claude-sonnet-4.5,1,write,0,239
B0093,ca945114-f8c0-40a1-aedc-a2c1fd4f496b,HIS-009,A,gpt-4o,3,summarize,0,349
B0094,2335ef2c-fef5-447a-971e-95ec3f91953d,HIS-010,A,claude-sonnet-4.5,3,compare,0,320
B0095,2f546685-0bd0-4b42-9e62-56d0f3cf429a,HIS-006,B,gemini-2.0-flash,3,describe,0,242
B0096,6920e636-a17a-4006-832c-a2ff7dc08265,HIS-005,A,claude-sonnet-4.5,2,compare,0,325
B0097,fd295506-563c-4c7c-99f4-ba0508a3b506,HIS-002,C,gemini-2.0-flash,2,explain,0,645
B0098,683d8498-1d12-4936-8098-a86b7b38a6e7,HIS-009,B,gpt-4o,1,summarize,0,254
B0099,f44632c7-2155-4824-8748-82b7d5774281,HIS-009,C,gemini-2.0-flash,2,summarize,0,574
B0100,6471ceb9-80d4-49ad-8577-98ddce7d2fbb,HIS-001,C,gpt-4o,3,describe,0,523
B0101,bac21296-61ff-4865-a4ed-5940a22ffc7d,HIS-005,B,gemini-2.0-flash,3,compare,0,51
B0102,74681e94-88bf-4210-85af-07b96fddabb2,HIS-003,C,gemini-2.0-flash,2,write,0,127
B0103,459ae9e0-640b-4887-8ff0-f87fa2bf4b79,HIS-010,C,claude-sonnet-4.5,2,compare,0,326
B0104,8400f1aa-dfd1-4173-9437-01e772ae1cff,HIS-003,B,gpt-4o,1,write,0,233
B0105,353598c4-f590-4b77-8c0f-020fefc55d14,HIS-010,B,gpt-4o,3,compare,0,81
B0106,b68aa204-40a4-4ddb-9dc0-15d3494a67b9,HIS-010,B,claude-sonnet-4.5,2,compare,0,152
B0107,df8850dd-f331-4a18-a613-31ff0e32eaa3,HIS-001,C,claude-sonnet-4.5,2,describe,0,424
B0108,8a1a580e-735f-4640-8992-0b30c0aef8a7,HIS-003,C,claude-sonnet-4.5,2,write,0,193
B0109,27f2b81b-d222-4181-a277-f44f704ea9a9,HIS-007,A,gpt-4o,1,explain,0,290
B0110,b534a161-3878-4dce-8dde-227606dd43dc,HIS-006,A,gpt-4o,1,describe,0,247
B0111,47f3d523-baac-4c08-8ca2-ce4fb67f98ed,HIS-002,C,gemini-2.0-flash,3,explain,0,645
B0112,38aadaf0-7c55-42ea-a0d0-2e059cba7487,HIS-002,B,claude-sonnet-4.5,1,explain,0,163
B0113,fb553588-9fc2-4d3c-9155-7d10d8f95c06,HIS-004,A,gemini-2.0-flash,2,summarize,0,294
B0114,b12e81cc-8140-42ba-a5c0-8b7e53cebdb1,HIS-003,B,gemini-2.0-flash,1,write,0,505
B0115,91bf6920-2327-4565-b42b-39579c1689bd,HIS-005,A,claude-sonnet-4.5,1,compare,0,361
B0116,6011c961-f3d1-4132-8c8e-6640d27926f8,HIS-004,B,gemini-2.0-flash,3,summarize,0,196
B0117,c8d61b94-f6f3-4c25-8519-b579a0290e57,HIS-002,C,gemini-2.0-flash,1,explain,0,645
B0118,6a31f9f5-620b-4da1-8a2a-b521fa88b998,HIS-009,B,gpt-4o,3,summarize,0,242
B0119,79da2ea0-ac4b-400a-9239-7710ec05975e,HIS-001,C,gemini-2.0-flash,2,describe,0,880
B0120,006b8da7-fcbd-4e18-971f-e3dbc1249ec8,HIS-004,C,claude-sonnet-4.5,3,summarize,0,335
B0121,abc15c35-f7eb-4fab-8acd-dfae0095d176,HIS-009,B,claude-sonnet-4.5,3,summarize,0,292
B0122,65b0eead-9ec4-46ec-b34b-3af69cf702a8,HIS-008,B,gemini-2.0-flash,2,write,0,547
B0123,8c99a740-4d2b-4d6b-9bb2-b4d082443e59,HIS-010,C,gpt-4o,2,compare,0,498
B0124,ff4aa934-f78c-4267-8c1c-3c2d6744393b,HIS-002,A,gpt-4o,3,explain,0,212
B0125,3cd0f8a7-b783-4326-82b1-b73deb1cec8a,HIS-006,B,claude-sonnet-4.5,3,describe,0,232
B0126,4d17b35b-3b5b-427e-985c-45c35e0343af,HIS-005,B,claude-sonnet-4.5,3,compare,0,218
B0127,6c5d3cdc-86c3-42b4-ad69-64e679e2e330,HIS-008,A,gemini-2.0-flash,2,write,0,372
B0128,68099f69-e6c5-4853-bf86-2e4252d274db,HIS-003,A,claude-sonnet-4.5,3,write,0,201
B0129,ba1d03d0-5235-4b97-b8f6-ff25b1eae28e,HIS-008,B,gpt-4o,1,write,0,168
B0130,ee3853c7-6803-4fd7-a104-e2125e2eef91,HIS-002,A,claude-sonnet-4.5,1,explain,0,293
B0131,ea7995f0-2312-4f35-9db5-fb0e8660542c,HIS-006,C,gemini-2.0-flash,2,describe,0,721
B0132,a8bb7272-c7d2-4e0a-b459-5d6dfebcc54a,HIS-005,B,claude-sonnet-4.5,2,compare,0,222
B0133,c3a0ec40-92d6-42c8-a2f2-5b5272ec42ac,HIS-007,C,gpt-4o,2,explain,0,487
B0134,366aafae-a926-448c-b9fc-40b32074c962,HIS-007,A,claude-sonnet-4.5,1,explain,0,306
B0135,ce7dfe4b-c66b-4fdf-ae2c-61e0698b38c9,HIS-007,A,gpt-4o,2,explain,0,340
B0136,445db3ca-7aef-4248-a1b3-8ab445da448a,HIS-008,C,gemini-2.0-flash,2,write,0,380
B0137,506f71ee-160c-475c-9bac-f9a67db6c4ea,HIS-002,A,gemini-2.0-flash,3,explain,0,517
B0138,76c99af6-b30a-4eb9-bbf0-0c2031c9620d,HIS-002,A,gpt-4o,1,explain,0,303
B0139,cffe6973-cb5f-44f2-a442-8199ca421f42,HIS-010,C,gpt-4o,3,compare,0,509
B0140,b538a26e-d9b5-4528-b9cf-afd215acd779,HIS-010,B,claude-sonnet-4.5,1,compare,0,150
B0141,09606b07-a37c-4ec7-942a-380ee9026fe0,HIS-010,B,gemini-2.0-flash,2,compare,0,136
B0142,d5bbb7b5-6ff3-41ff-a131-db260651b5f0,HIS-005,C,gemini-2.0-flash,1,compare,0,732
B0143,b531df49-181e-4d7e-86a3-a034c0828304,HIS-008,A,gpt-4o,1,write,0,289
B0144,e739db1f-c67c-4298-bd6a-7cc154d5cf87,HIS-004,A,gpt-4o,1,summarize,0,165
B0145,542bf85e-b694-4156-876a-7227a5df591b,HIS-006,A,gemini-2.0-flash,2,describe,0,765
B0146,5ef0b51a-1ca5-4495-9d35-c5cdeeee464d,HIS-003,A,gpt-4o,2,write,0,153
B0147,3e5ec58c-a5c1-40d8-832e-473b5cd94ce2,HIS-010,B,gpt-4o,1,compare,0,76
B0148,9fd092ef-05a0-4afd-bf99-bd0cfc7b5bb3,HIS-002,B,gpt-4o,2,explain,0,103
B0149,d2a243d6-d9ae-4fba-94e8-fefdd5ef6625,HIS-004,B,claude-sonnet-4.5,2,summarize,0,142
B0150,5312e81c-5c62-46e9-9c68-256736fe319c,HIS-005,A,gemini-2.0-flash,2,compare,0,904
B0151,bc70d86c-c5b1-4086-93f6-e8a5631080cc,HIS-005,B,gpt-4o,3,compare,0,89
B0152,1a5ee23a-fdcb-4fa8-b850-86a2c9ee99e2,HIS-008,C,gpt-4o,2,write,0,445
B0153,2086f528-9a8a-40d6-917a-5242b19b5dd8,HIS-006,C,gpt-4o,1,describe,0,432
B0154,4bb17777-33f5-4341-9806-03ee6b8be72c,HIS-004,A,gpt-4o,2,summarize,0,186
B0155,70622592-4c81-4af8-9f5f-f5dc67c3fba4,HIS-009,A,gemini-2.0-flash,2,summarize,0,365
B0156,a4358759-8b10-45ca-a3c2-08756407dea6,HIS-008,A,claude-sonnet-4.5,3,write,0,357
B0157,2165b35c-01a6-4176-9af8-31c00ec8a0a9,HIS-001,A,gpt-4o,3,describe,0,507
B0158,e676d990-f764-4540-9c98-e5745ecaef91,HIS-009,C,gemini-2.0-flash,1,summarize,0,508
B0159,935e949a-7137-4bbe-aa77-94ba78e13afb,HIS-002,B,claude-sonnet-4.5,2,explain,0,163
B0160,0f82f910-34b0-4611-afa1-532c89e5bc49,HIS-005,A,gemini-2.0-flash,1,compare,0,904
B0161,6ab6f6e6-2122-415d-a1c4-49292cd6947c,HIS-005,C,gemini-2.0-flash,2,compare,0,645
B0162,4ca9d45c-97d4-43e9-a948-63b807b447a2,HIS-002,B,gpt-4o,3,explain,0,94
B0163,e88dfb90-ae54-49c6-9d16-e1227da429fe,HIS-009,A,gpt-4o,2,summarize,0,374
B0164,13f4cc78-9ace-4c7b-86c0-745517abc332,HIS-007,B,gemini-2.0-flash,3,explain,0,60
B0165,282ac5c6-d0ef-451d-b980-8b81d68e0b37,HIS-002,C,claude-sonnet-4.5,1,explain,0,317
B0166,1e1df47f-291a-4db4-b075-172d8766e15b,HIS-002,C,gpt-4o,2,explain,0,428
B0167,c19bb638-2631-45f7-a821-866a68ffdfbf,HIS-009,C,gpt-4o,2,summarize,0,365
B0168,5a0c4814-5e2b-4abf-99ed-0cbee97aee11,HIS-010,A,gemini-2.0-flash,3,compare,0,1000
B0169,106a218a-2784-418b-9ef5-f7447fcccc7b,HIS-003,C,claude-sonnet-4.5,3,write,0,193
B0170,33e44a96-4e30-4171-a647-0df0ebc86a78,HIS-007,B,claude-sonnet-4.5,3,explain,0,119
B0171,c7038d18-9d5f-43b1-ad5e-ff96822dc543,HIS-009,C,claude-sonnet-4.5,1,summarize,0,340
B0172,c60b8b58-2c4a-4363-b1dc-8c15f91a70f5,HIS-007,B,gpt-4o,2,explain,0,102
B0173,f54169ac-4b20-4d89-afeb-16385c96dfc0,HIS-010,B,gpt-4o,2,compare,0,80
B0174,79997cf0-a7ab-4c8a-8310-502a83e71aa4,HIS-004,C,claude-sonnet-4.5,2,summarize,0,334
B0175,91d40e05-bc87-4223-b993-454aa7a9ffa4,HIS-010,B,gemini-2.0-flash,3,compare,0,145
B0176,a583ac35-d7a3-4f20-b393-d3127329ff5f,HIS-008,A,gpt-4o,2,write,0,327
B0177,7e3db2f3-2899-4209-96d2-49a00747cf1e,HIS-005,C,gemini-2.0-flash,3,compare,0,645
B0178,a97abcf0-e58f-40a2-b1f7-b401e8d54187,HIS-009,A,claude-sonnet-4.5,1,summarize,0,312
B0179,26d60354-dde7-45c0-ba3d-a5e4abeb1b85,HIS-002,A,gpt-4o,2,explain,0,206
B0180,a0f9b30e-c241-423f-9fbd-8c1e0378211f,HIS-004,B,gemini-2.0-flash,1,summarize,0,196
B0181,93ca4cea-6239-4328-a61f-7ef36fbed94c,HIS-006,C,gpt-4o,2,describe,0,415
B0182,1542b0bd-d0e0-4989-b39c-c3b90e31fd8b,HIS-010,B,gemini-2.0-flash,1,compare,0,136
B0183,821d5369-f8f2-4bbb-9160-189905e08551,HIS-005,B,gemini-2.0-flash,1,compare,0,51
B0184,94ea60df-32d0-4239-8a74-cab48d8df1aa,HIS-002,A,claude-sonnet-4.5,3,explain,0,294
B0185,b3a03370-da81-4eef-b257-7080642c7ae7,HIS-006,A,gemini-2.0-flash,3,describe,1,843
B0186,9082c5b8-c319-4fe6-a11b-9ac734753112,HIS-004,C,claude-sonnet-4.5,1,summarize,0,355
B0187,3c096e75-e903-47d8-b6d2-a4dae69df318,HIS-008,A,gemini-2.0-flash,1,write,0,280
B0188,a3e83590-78b6-4b7e-b3e9-2fa5eb164fe5,HIS-004,A,gemini-2.0-flash,3,summarize,0,294
B0189,15480499-8b33-4c66-ab27-03f565f114a3,HIS-010,A,claude-sonnet-4.5,2,compare,0,336
B0190,26324578-1482-41f9-a3b4-bbb8db877a6b,HIS-004,A,claude-sonnet-4.5,1,summarize,0,309
B0191,75303872-5846-4366-846b-971afd6fceb2,HIS-002,B,gemini-2.0-flash,3,explain,0,239
B0192,cdd17793-df0d-41e8-b38c-01c3605f4b7f,HIS-001,A,gpt-4o,1,describe,1,510
B0193,1c2ccbfe-23d4-4cc2-ae81-20a199f2dcfd,HIS-004,B,gpt-4o,2,summarize,0,73
B0194,c59eef79-c0fd-4c24-b27c-a00f509dffe4,HIS-006,C,gemini-2.0-flash,3,describe,0,721
B0195,bb3132d3-48e7-47b6-93f0-d3560de13d9c,HIS-007,A,claude-sonnet-4.5,2,explain,0,300
B0196,6e9845cc-d9af-4e48-84d7-6e296b56ab45,HIS-009,A,gemini-2.0-flash,3,summarize,0,365
B0197,0a84b71a-c7f3-4462-b658-149df57a20c4,HIS-003,A,gpt-4o,1,write,0,155
B0198,a53ed157-3d5d-4962-892c-3e03f0b28f5a,HIS-010,C,claude-sonnet-4.5,1,compare,0,340
B0199,8a9dbbb4-abfc-44ca-8319-ea2fa994850f,HIS-004,C,gemini-2.0-flash,3,summarize,0,563
B0200,d482f148-4207-4bf9-9da7-217ae2818ece,HIS-007,A,gemini-2.0-flash,2,explain,0,519
B0201,99388674-0628-4da6-8032-96ccbce00fed,HIS-001,B,gpt-4o,1,describe,0,106
B0202,4e03cf2e-1a43-4d89-afbd-f22ec643e60d,HIS-007,C,claude-sonnet-4.5,2,explain,0,331
B0203,634aa74c-36dc-477b-877b-cdd034cb191f,HIS-003,C,claude-sonnet-4.5,1,write,0,193
B0204,59e9f7fa-6d91-4977-a556-b5f2ffcf43bf,HIS-001,A,gpt-4o,2,describe,0,323
B0205,ad06b820-daa1-4146-ad31-af6fdd8812bf,HIS-003,A,gemini-2.0-flash,3,write,0,147
B0206,2c0f7ff0-4bde-4e44-b658-54789eafe087,HIS-008,C,gemini-2.0-flash,3,write,0,380
B0207,fe691351-523e-4b86-898d-7d2c4781c22b,HIS-010,B,claude-sonnet-4.5,3,compare,0,152
B0208,dfcaaa8a-6c1e-45a5-a4f9-c0bb130e7a18,HIS-006,B,gpt-4o,3,describe,0,129
B0209,0cfadf67-4a73-439a-ab18-5cd20b700d7e,HIS-007,C,gpt-4o,3,explain,0,500
B0210,ae094d1f-c983-4692-99c5-f40d9eba51b4,HIS-005,A,claude-sonnet-4.5,3,compare,0,336
B0211,e0873e48-8b94-4997-9cfc-965c8ba201a9,HIS-006,A,claude-sonnet-4.5,1,describe,0,330
B0212,7cd20aa3-939a-41d2-96a6-c502febfd64c,HIS-006,A,gemini-2.0-flash,1,describe,1,843
B0213,93cedc66-c57a-4b2e-be06-92e1995912b5,HIS-001,C,claude-sonnet-4.5,3,describe,0,398
B0214,829bc597-6d41-4d4d-9cbe-9f6354a18b90,HIS-002,C,gpt-4o,3,explain,0,332
B0215,2e8f4a81-e8e7-459d-9d44-07e11e2f4456,HIS-004,C,gpt-4o,3,summarize,0,332
B0216,49aa390a-8805-4d3e-9b67-4f67c39ea1e2,HIS-005,C,claude-sonnet-4.5,1,compare,0,348
B0217,3cca17a6-dc48-4d11-8e8d-2088bcbece57,HIS-002,B,gemini-2.0-flash,2,explain,0,239
B0218,e95cbbf6-dd66-487b-9a28-9c87fb88d620,HIS-003,A,gpt-4o,3,write,0,162
B0219,40fdfeac-1643-497b-8763-064528d575f7,HIS-007,C,gpt-4o,1,explain,0,453
B0220,1f1c4205-40d1-4807-bc7e-4544efd7b60d,HIS-007,C,gemini-2.0-flash,2,explain,0,747
B0221,25b27326-8fba-4b1e-897a-1ec0875456e8,HIS-003,C,gemini-2.0-flash,3,write,0,137
B0222,e9456289-d80a-43b7-b33c-1a2146144eab,HIS-010,A,gemini-2.0-flash,2,compare,0,1000
B0223,c4e51272-6053-473e-9a6f-353d94a8c53a,HIS-008,B,claude-sonnet-4.5,3,write,0,253
B0224,b7b0e96b-5b61-4ffe-a863-7d802abdca93,HIS-003,C,gpt-4o,3,write,0,164
B0225,4461f5a6-c76b-4807-9446-c07f8c91ce24,HIS-003,B,claude-sonnet-4.5,3,write,0,217
B0226,beedad16-f20a-4f8a-846e-b9be4edf2dbf,HIS-009,C,claude-sonnet-4.5,3,summarize,0,327
B0227,686a0480-ea92-4491-8e5d-6036f609b373,HIS-008,B,gemini-2.0-flash,3,write,0,463
B0228,a3315b28-c4c5-46df-b01e-36b88ba6d3df,HIS-008,A,claude-sonnet-4.5,2,write,0,355
B0229,5eff5ca8-f287-482f-a7e2-63e0b5fb9b74,HIS-003,C,gemini-2.0-flash,1,write,0,127
B0230,b74f6944-a9ad-42c9-9835-d1e44f312e54,HIS-006,A,claude-sonnet-4.5,3,describe,0,331
B0231,2f8aab36-b2ed-4df4-a91d-712743c551cc,HIS-005,B,gpt-4o,1,compare,0,92
B0232,7d663d90-0f38-4d30-a392-0d0172bc8a5b,HIS-001,B,claude-sonnet-4.5,1,describe,0,210
B0233,a39d6306-7f1d-4a4b-be59-749d04ebbea5,HIS-007,A,gpt-4o,3,explain,0,323
B0234,8fdc16dd-55ff-4bb2-8642-aac2f970b91e,HIS-001,B,gemini-2.0-flash,1,describe,0,338
B0235,f36818cc-15f6-4699-9480-09f7f5e76c70,HIS-010,C,gemini-2.0-flash,2,compare,0,797
B0236,bddcfe5b-d6f0-4274-a514-c076b4398013,HIS-010,C,gemini-2.0-flash,3,compare,0,797
B0237,1e9bc0a7-f7f0-48bd-abf5-6b6ae288cc60,HIS-008,B,gpt-4o,2,write,0,171
B0238,2f3a5ba9-e1fa-4fea-bc4f-a77dce5c99df,HIS-006,C,claude-sonnet-4.5,2,describe,0,560
B0239,1ab812a7-6e95-42ec-83b8-d478e2c9b23e,HIS-002,B,gpt-4o,1,explain,0,90
