blind_id,call_id,item_id,condition,model_label,model_snapshot,run,task_verb,score,notes,response_len,response_empty
B0016,a95ec441-f1de-4143-8cc3-4d699904d18e,HIS-009,C,gpt-4o,openai/gpt-4o,2,summarize,0,,1661,0
B0017,07bd79db-7899-4537-b7d9-3c63b04c0726,HIS-003,A,gemini-1.5-pro,google/gemini-2.5-pro,2,write,1,,118,0
B0018,8e42d9d0-4fcf-48aa-8c65-4ef87b19c37b,HIS-003,C,gpt-4o,openai/gpt-4o,2,write,0,,909,0
B0019,722acb58-e953-4f07-a519-709bb4db915c,HIS-001,A,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,2,describe,2,,1392,0
B0020,9b6476ad-1547-405a-a67f-f13d91a19225,HIS-003,B,gpt-4o,openai/gpt-4o,3,write,1,,946,0
B0021,41c309de-0737-417f-b93a-b8ef06ee3494,HIS-005,C,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,3,compare,0,,1567,0
B0022,8cc77811-a026-42a9-a669-6754ce8dac21,HIS-005,A,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,1,compare,2,,1501,0
B0023,d4925c07-dc37-4a27-8424-3cb6d95dafb9,HIS-010,C,gemini-1.5-pro,google/gemini-2.5-pro,3,compare,,EMPTY,2,1
B0024,557d1899-cc5c-47f6-8c08-c712dcc566cb,HIS-010,B,gpt-4o,openai/gpt-4o,2,compare,0,,515,0
B0025,49a28833-3304-4ecb-8958-082341d41828,HIS-006,B,gemini-1.5-pro,google/gemini-2.5-pro,1,describe,0,,103,0
B0026,90794429-fad2-4cb6-ae80-cad4223301eb,HIS-005,C,gpt-4o,openai/gpt-4o,3,compare,0,,3299,0
B0027,00159c03-9f4f-49ba-a2c0-88aa991b527d,HIS-002,C,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,1,explain,0,,1453,0
B0028,60ca452a-e85c-4455-ab08-2499f3b781b9,HIS-008,C,gpt-4o,openai/gpt-4o,1,write,0,,2067,0
B0029,1e39bb4a-4b5e-41ef-bc0e-34ff5618b06c,HIS-009,B,gpt-4o,openai/gpt-4o,2,summarize,1,,1438,0
B0030,905c5915-65a9-4fea-9499-fe43340b8e7c,HIS-010,B,gemini-1.5-pro,google/gemini-2.5-pro,1,compare,2,,101,0
B0031,bab648e5-bcf1-4d82-b8c3-4640b404ef9b,HIS-007,A,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,1,explain,0,,1391,0
B0032,0c726436-98d4-4e75-9419-92250abebf02,HIS-006,B,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,3,describe,0,,888,0
B0033,eb6da9ea-38d9-4ea1-b590-1b6f9106a420,HIS-004,C,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,1,summarize,0,,1572,0
B0034,37d40860-d96a-4336-a924-442980ac4048,HIS-006,C,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,2,describe,0,,1860,0
B0035,792510d9-f38c-4bb7-a627-40beb25dcd91,HIS-010,A,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,3,compare,2,,1429,0
B0036,06d74f68-44b6-440d-9489-d9308aad4f7a,HIS-001,B,gemini-1.5-pro,google/gemini-2.5-pro,3,describe,2,,92,0
B0037,824739d3-35c7-4ea6-bc82-e1dc1c7712e1,HIS-005,B,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,2,compare,0,,946,0
B0038,8c935c55-2bf9-493f-a610-52394ef2f85e,HIS-005,B,gpt-4o,openai/gpt-4o,2,compare,0,,474,0
B0039,93bd112e-93a0-4a3c-bc26-79dc121d5c78,HIS-005,A,gpt-4o,openai/gpt-4o,3,compare,0,,2151,0
B0040,dc926a47-bbf1-46c8-960c-e88efca3c59a,HIS-004,C,gemini-1.5-pro,google/gemini-2.5-pro,3,summarize,0,,120,0
B0041,22ecc66e-8315-4634-867d-b9a33e9035ed,HIS-007,B,gemini-1.5-pro,google/gemini-2.5-pro,2,explain,,EMPTY,2,1
B0042,74ff1125-1f2c-4b70-b40b-c846fe1d9379,HIS-006,A,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,2,describe,2,,1403,0
B0043,a42189a6-f787-4ef3-a946-cf8695e68efa,HIS-005,C,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,1,compare,0,,1629,0
B0044,240ba0af-e888-423e-9996-2002a72e4661,HIS-010,B,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,2,compare,0,,651,0
B0045,4cbb9beb-de79-49f2-ae94-ae54937c0a5a,HIS-003,B,gpt-4o,openai/gpt-4o,1,write,1,,935,0
B0046,29e55c53-225d-400f-bd52-149251959d08,HIS-008,B,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,3,write,0,,1088,0
B0047,39b609a6-a615-4f31-af90-8f5e978bd918,HIS-004,C,gpt-4o,openai/gpt-4o,2,summarize,0,,1885,0
B0048,b3b0141b-0b43-477a-9b76-3da15010784c,HIS-001,C,gpt-4o,openai/gpt-4o,1,describe,0,,2805,0
B0049,1df302cf-5ca5-4cf5-a9aa-277d2ad05841,HIS-007,C,gpt-4o,openai/gpt-4o,3,explain,0,,2950,0
B0050,46c5020a-1738-4567-91cb-387cfcbe0a94,HIS-003,A,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,2,write,0,,1057,0
B0051,a22478da-aaa8-4604-b151-08669a2ce508,HIS-009,A,gemini-1.5-pro,google/gemini-2.5-pro,3,summarize,2,,119,0
B0052,acfd5bd6-b212-4b62-997d-cb402e7e3a22,HIS-009,B,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,1,summarize,1,,1360,0
B0053,ab04e09a-af3d-4832-b9cf-d385de09f099,HIS-009,C,gpt-4o,openai/gpt-4o,1,summarize,0,,1795,0
B0054,871b5a38-72c3-45fe-9e52-692e011bb20b,HIS-002,B,gemini-1.5-pro,google/gemini-2.5-pro,3,explain,0,,94,0
B0055,bd27c9d7-46dd-419a-8b0a-6ad652329e30,HIS-003,A,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,3,write,0,,1081,0
B0056,9deb219b-f988-4765-a633-d8cc2e392920,HIS-008,A,gemini-1.5-pro,google/gemini-2.5-pro,2,write,0,,74,0
B0057,fb8f1844-6319-4eea-99fc-87cbfd66b3ac,HIS-010,C,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,1,compare,0,,1525,0
B0058,b54fc070-e8a6-41ca-be96-8418402e28a7,HIS-002,C,gemini-1.5-pro,google/gemini-2.5-pro,2,explain,0,,101,0
B0059,39f805a9-d86c-4ac1-8f26-27d66d796b14,HIS-005,A,gpt-4o,openai/gpt-4o,1,compare,0,,2034,0
B0060,8195a678-110c-422c-b43d-39c956376908,HIS-009,C,gemini-1.5-pro,google/gemini-2.5-pro,3,summarize,0,,151,0
B0061,6e0ce123-afa4-4117-80a0-fb85889007f8,HIS-003,C,gpt-4o,openai/gpt-4o,1,write,0,,916,0
B0062,89f926e2-fe24-4a18-8e17-ad5bba37c07f,HIS-003,A,gpt-4o,openai/gpt-4o,1,write,0,,824,0
B0063,8b01d02a-7aa6-4560-b74b-20a55f20f0c4,HIS-004,C,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,3,summarize,0,,1580,0
B0064,788b32ea-d326-41ed-9f68-614446629b22,HIS-001,A,gpt-4o,openai/gpt-4o,2,describe,1,,2782,0
B0065,3f848416-1328-4015-9e60-cbbc7a7a7016,HIS-001,C,gemini-1.5-pro,google/gemini-2.5-pro,3,describe,0,,117,0
B0066,fdfd75ee-5d0d-4b52-bdca-2ea4856e82cf,HIS-006,A,gemini-1.5-pro,google/gemini-2.5-pro,2,describe,2,,103,0
B0067,2d95a03a-ee86-4bdd-9a6d-ce35a11e0db4,HIS-002,A,gemini-1.5-pro,google/gemini-2.5-pro,3,explain,2,,102,0
B0068,142aee5b-a872-404d-86dd-fec562ef7639,HIS-003,C,gemini-1.5-pro,google/gemini-2.5-pro,3,write,0,,137,0
B0069,953dafca-1e31-4ee4-bda0-c7b1b55c2c71,HIS-004,C,gpt-4o,openai/gpt-4o,1,summarize,0,,2260,0
B0070,47c2dbd0-d00f-4414-9c8a-0db963a77ac7,HIS-004,A,gpt-4o,openai/gpt-4o,3,summarize,0,,803,0
B0071,d0c77436-78a7-4756-9465-3a61eb687c68,HIS-002,C,gpt-4o,openai/gpt-4o,3,explain,0,,1928,0
B0072,43ce1d04-90f7-489f-8a3a-6ee87b95a26a,HIS-008,A,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,3,write,2,,1579,0
B0073,662f0d99-8d75-426c-ab66-1f04947608e5,HIS-006,A,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,1,describe,2,,1438,0
B0074,52349cce-8781-4093-bad2-ecac7589c759,HIS-007,B,gpt-4o,openai/gpt-4o,1,explain,0,,395,0
B0075,94ad7b3a-0a9c-424e-85ce-86f1d4a55141,HIS-007,C,gemini-1.5-pro,google/gemini-2.5-pro,3,explain,,EMPTY,2,1
B0076,23aa2f00-8f83-48b0-8fad-e99dff46f757,HIS-004,A,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,2,summarize,2,,1227,0
B0077,8bd0c0a1-11d2-4083-a5a0-ff31fbddad93,HIS-002,C,gpt-4o,openai/gpt-4o,1,explain,0,,2234,0
B0078,509c2171-4eaf-4630-b1d2-7ff7600ff479,HIS-008,A,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,1,write,2,,1390,0
B0079,01740d1f-348e-4d7c-931c-7e0871f40789,HIS-006,C,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,3,describe,0,,2485,0
B0080,6c22b096-3428-4655-9c1f-927973420b1f,HIS-006,C,gemini-1.5-pro,google/gemini-2.5-pro,3,describe,0,,104,0
B0081,337de492-7ed5-4118-928b-d6c530c29edb,HIS-004,A,gpt-4o,openai/gpt-4o,1,summarize,0,,745,0
B0082,09b7e164-5c92-4a00-aa3d-2a5a3d6610fd,HIS-008,A,gemini-1.5-pro,google/gemini-2.5-pro,1,write,0,,74,0
B0083,ae099362-549e-44b3-8ba5-963b92e9874a,HIS-003,C,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,1,write,0,,1076,0
B0084,2359943b-1873-42a7-9bf2-c4edc4ac51e2,HIS-006,B,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,2,describe,0,,926,0
B0085,68bc2b76-d7c2-4149-aa92-7c1ce32ce7d4,HIS-008,C,gpt-4o,openai/gpt-4o,3,write,0,,2398,0
B0086,b69e220b-3cd3-4b5f-96ce-67a514a1b48e,HIS-004,A,gpt-4o,openai/gpt-4o,2,summarize,0,,1054,0
B0087,e767ceac-5e1b-4e22-8be1-7766be38327c,HIS-004,B,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,3,summarize,0,,627,0
B0088,757248b7-6bcd-424e-918f-dbe4de7d8ddc,HIS-009,B,gpt-4o,openai/gpt-4o,1,summarize,2,,1128,0
B0089,4141a446-8655-4e22-8407-b64afc8fab70,HIS-005,C,gemini-1.5-pro,google/gemini-2.5-pro,2,compare,0,,123,0
B0090,499ad631-b440-4ae1-b77b-fd7ca51f0859,HIS-008,B,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,2,write,0,,1092,0
B0091,2c4ca705-d7cd-4861-8b9c-7430dd81329a,HIS-010,C,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,2,compare,0,Cond C,1430,0
B0092,215a48dc-f01a-4e14-87df-dc376332929b,HIS-003,A,gemini-1.5-pro,google/gemini-2.5-pro,3,write,0,TRUNCATED,118,0
B0093,4b6ea308-4654-4974-b91a-6f94d9d19a38,HIS-001,C,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,3,describe,0,Cond C,1955,0
B0094,40fa978c-5053-4f12-9935-4bc82857cbee,HIS-007,B,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,1,explain,0,,552,0
B0095,45161d06-7780-4c56-989e-eb4e9c1e66d3,HIS-009,C,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,2,summarize,0,Cond C,1583,0
B0096,5eabcc1e-b61d-4998-8c69-1a75bc914f15,HIS-003,A,gpt-4o,openai/gpt-4o,2,write,0,,933,0
B0097,a6f7d1bb-df86-4ca9-93e0-fa074d0cc565,HIS-004,B,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,1,summarize,0,,628,0
B0098,4103cc39-fe96-4398-997d-5afba62a1a62,HIS-006,C,gemini-1.5-pro,google/gemini-2.5-pro,2,describe,0,TRUNCATED Cond C,104,0
B0099,f01d580f-6058-4c59-90c5-f75fbcf9a9ad,HIS-010,A,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,2,compare,0,,1409,0
B0100,ee7f45ae-620a-4ffb-a5d7-6aee9f01ad6a,HIS-005,B,gpt-4o,openai/gpt-4o,1,compare,0,,500,0
B0101,433dfc34-0767-42bd-a542-d74e4bd9387b,HIS-001,C,gpt-4o,openai/gpt-4o,2,describe,0,Cond C,2883,0
B0102,b6173e61-fc26-4b8b-86bf-77049f2d6151,HIS-010,A,gpt-4o,openai/gpt-4o,1,compare,0,,2500,0
B0103,84a5a749-7c1b-4aba-97b3-618c75687ea2,HIS-007,C,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,1,explain,0,Cond C,1619,0
B0104,c7f7731e-fc45-406f-b067-cb0a8b1d8747,HIS-001,A,gpt-4o,openai/gpt-4o,1,describe,0,,1751,0
B0105,4af3d955-8eec-413c-bcb5-ca64f589b85f,HIS-006,A,gpt-4o,openai/gpt-4o,1,describe,0,,1814,0
B0106,2e47721f-fbb5-4e9c-8f5b-9c0dc90af1c5,HIS-003,B,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,1,write,0,,1101,0
B0107,ce21c574-5cee-4e55-9593-9b65b9b570a3,HIS-002,B,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,2,explain,0,,672,0
B0108,d7a84759-df81-4f3b-9b7f-b641d5d46909,HIS-006,C,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,1,describe,0,Cond C,1841,0
B0109,37b9c9dd-bea3-4ba3-bd71-9d57897d13ff,HIS-004,C,gemini-1.5-pro,google/gemini-2.5-pro,2,summarize,0,TRUNCATED Cond C,113,0
B0110,33e86362-f213-44aa-950a-ca5d3549e14d,HIS-007,C,gpt-4o,openai/gpt-4o,2,explain,0,Cond C,2852,0
B0111,4b805adf-0c8a-4679-b1d7-eec584e0ec8e,HIS-002,C,gpt-4o,openai/gpt-4o,2,explain,0,Cond C,2041,0
B0112,b55617d4-2ac7-4e41-b112-6ad7a0b872da,HIS-004,A,gemini-1.5-pro,google/gemini-2.5-pro,1,summarize,0,TRUNCATED,108,0
B0113,3dbfef19-3135-4340-927e-c23f00db5e5f,HIS-003,A,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,1,write,0,,948,0
B0114,2803ce0b-a063-4a14-938f-4671a3e1d851,HIS-001,C,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,2,describe,0,TRUNCATED Cond C,2964,0
B0115,a19b6797-ea68-4779-81b3-aed55565f267,HIS-010,B,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,3,compare,0,,577,0
B0116,bab6bbc6-d90b-4279-9bbf-596217198f88,HIS-003,B,gemini-1.5-pro,google/gemini-2.5-pro,1,write,0,TRUNCATED,125,0
B0117,6b0cb60f-8087-4a6a-852c-be465451c1f5,HIS-008,C,gpt-4o,openai/gpt-4o,2,write,0,Cond C,2330,0
B0118,8a4414b0-6730-4717-bd09-c72e7abedd2f,HIS-001,B,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,3,describe,0,,822,0
B0119,7d5c74fe-6221-48ea-a3b6-a2a4fd243b73,HIS-006,B,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,1,describe,0,,926,0
B0120,6baf609c-a8f4-4adb-9bc6-c098edef1e06,HIS-010,C,gemini-1.5-pro,google/gemini-2.5-pro,2,compare,0,Cond C,120,0
B0121,14d92bb1-8f9c-4e06-8645-aead5ff721ce,HIS-005,C,gpt-4o,openai/gpt-4o,1,compare,0,TRUNCATED Cond C,3189,0
B0122,a1a2382a-4e07-4bb3-b9ab-405e5c85d444,HIS-004,A,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,1,summarize,0,,1309,0
B0123,d6cc6eb6-ccf2-4280-9cac-b62ecc57c13d,HIS-009,B,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,2,summarize,1,,1318,0
B0124,79d91d2a-5305-4b7e-bb5b-d73fa1cf45f9,HIS-004,A,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,3,summarize,0,,1307,0
B0125,546f91f7-83f9-4378-b009-f557f0717e87,HIS-002,C,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,3,explain,0,Cond C,1464,0
B0126,fd194260-6a61-4f89-97b4-8398a0640ad5,HIS-008,A,gpt-4o,openai/gpt-4o,2,write,0,,1597,0
B0127,f8c2f9cf-14ea-4ef0-91e1-f682b4b81191,HIS-001,A,gemini-1.5-pro,google/gemini-2.5-pro,3,describe,2,TRUNCATED,116,0
B0128,0cbc970f-a7c8-4359-9471-e5ce03a32a4b,HIS-008,C,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,2,write,0,Cond C,1688,0
B0129,b1ad7621-bcb5-49ed-bbb0-927d4e5795c5,HIS-009,B,gemini-1.5-pro,google/gemini-2.5-pro,2,summarize,2,EMPTY,2,1
B0130,c3529098-2894-45f3-9fa3-1a6898b862c3,HIS-005,C,gemini-1.5-pro,google/gemini-2.5-pro,1,compare,0,TRUNCATED Cond C,147,0
B0131,21f12df1-5e81-4eec-a48a-67dc4345bef3,HIS-010,B,gpt-4o,openai/gpt-4o,1,compare,0,,417,0
B0132,ddd33767-3e12-4f66-bd3f-c4812af8646f,HIS-001,C,gemini-1.5-pro,google/gemini-2.5-pro,2,describe,0,TRUNCATED Cond C,128,0
B0133,fe987a3b-deb0-42d2-bd46-90e6b6bb12ba,HIS-009,B,gemini-1.5-pro,google/gemini-2.5-pro,3,summarize,0,,108,0
B0134,1eec62b2-f481-45e5-8f26-ca645eb02d02,HIS-002,A,gpt-4o,openai/gpt-4o,3,explain,0,,1132,0
B0135,22ecad96-0552-4a88-ba78-68dbc3378143,HIS-008,B,gpt-4o,openai/gpt-4o,2,write,0,,1257,0
B0136,04443f1d-3015-47c8-b4ee-55f9d7334330,HIS-003,B,gpt-4o,openai/gpt-4o,2,write,0,,902,0
B0137,68c10b09-cfde-43bc-8230-70fbdb89e4f4,HIS-010,A,gemini-1.5-pro,google/gemini-2.5-pro,2,compare,2,TRUNCATED,132,0
B0138,ee1dedad-0bfd-4227-9a3c-09db23b369ec,HIS-006,B,gpt-4o,openai/gpt-4o,1,describe,0,,899,0
B0139,910e2689-37bc-45cc-9daa-f5c6001158a7,HIS-010,C,gemini-1.5-pro,google/gemini-2.5-pro,1,compare,0,TRUNCATED Cond C,126,0
B0140,b3b00552-0a24-4ca3-8b36-c7b9e7cdac6b,HIS-007,C,gemini-1.5-pro,google/gemini-2.5-pro,1,explain,0,TRUNCATED Cond C,123,0
B0141,cc1cbb65-88a8-430b-9bfe-a95bee88b748,HIS-004,B,gemini-1.5-pro,google/gemini-2.5-pro,1,summarize,0,TRUNCATED,104,0
B0142,8a9f7466-c778-453d-acef-954f4a398344,HIS-010,B,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,1,compare,0,,651,0
B0143,07406dd8-382a-4173-bc3c-8b34d54cd4d4,HIS-006,A,gemini-1.5-pro,google/gemini-2.5-pro,3,describe,1,TRUNCATED,113,0
B0144,e1c1022a-02ca-49db-a2d6-8537ebd760af,HIS-006,C,gemini-1.5-pro,google/gemini-2.5-pro,1,describe,0,TRUNCATED Cond C,104,0
B0145,46840ba0-b69d-41b2-aa3c-9bd0a3b79605,HIS-005,A,gemini-1.5-pro,google/gemini-2.5-pro,1,compare,2,TRUNCATED,126,0
B0146,dd7b72fb-d9b5-4c0d-ba6d-ae6cffa7aba4,HIS-005,B,gemini-1.5-pro,google/gemini-2.5-pro,2,compare,0,TRUNCATED,107,0
B0147,03951297-2a41-41a8-95e1-2bb8230d5f63,HIS-006,A,gemini-1.5-pro,google/gemini-2.5-pro,1,describe,2,EMPTY,2,1
B0148,d9d5c2c7-fdab-4bcd-9af9-787206c7b376,HIS-007,B,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,3,explain,0,,536,0
B0149,0a7a46bb-8aad-44dd-a31d-b0de886c8104,HIS-004,A,gemini-1.5-pro,google/gemini-2.5-pro,2,summarize,0,TRUNCATED,108,0
B0150,8845e32c-3ca7-40f3-aa93-b04f0be23073,HIS-001,B,gpt-4o,openai/gpt-4o,1,describe,0,,753,0
B0151,550e1118-9f69-4a5e-bc68-4cbdb91f2bf3,HIS-005,C,gpt-4o,openai/gpt-4o,2,compare,0,Cond C,3021,0
B0152,d2ead658-30d3-4960-8610-df0de97981a5,HIS-005,B,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,1,compare,0,,1005,0
B0153,16082feb-1dfc-4c9f-b2bf-f53a2417c85d,HIS-008,B,gpt-4o,openai/gpt-4o,1,write,0,,1285,0
B0154,be9e6c68-a3da-440b-a0e8-79fc7be3e9fe,HIS-006,A,gpt-4o,openai/gpt-4o,2,describe,0,,1486,0
B0155,58870e49-b49b-4aea-9d94-eced6f83a908,HIS-007,C,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,2,explain,0,Cond C,1525,0
B0156,bd08d808-5a9e-48f1-9478-88fbd67c2da7,HIS-008,C,gemini-1.5-pro,google/gemini-2.5-pro,3,write,0,TRUNCATED Cond C,78,0
B0157,ad0a30b7-5df1-451c-a577-d2b985275839,HIS-001,B,gpt-4o,openai/gpt-4o,2,describe,0,,555,0
B0158,6448c2e3-5eac-4703-a8b0-b37d279bd01a,HIS-003,C,gpt-4o,openai/gpt-4o,3,write,0,Cond C,989,0
B0159,2375eca4-ef35-40c8-af3e-978142395cf5,HIS-009,A,gemini-1.5-pro,google/gemini-2.5-pro,2,summarize,2,EMPTY,2,1
B0160,ae0f7c32-941f-4e0d-b3a4-ec4e52580012,HIS-001,C,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,1,describe,0,Cond C,2009,0
B0161,315aceab-d577-4875-9d53-26e7d8e5d6e6,HIS-010,B,gpt-4o,openai/gpt-4o,3,compare,0,,337,0
B0162,ca228ef0-0256-4044-bbe1-41a2969bbd9c,HIS-002,B,gemini-1.5-pro,google/gemini-2.5-pro,1,explain,0,TRUNCATED,94,0
B0163,c4b851a3-ba22-44e2-9e9c-ea0d9eb695a4,HIS-009,A,gpt-4o,openai/gpt-4o,1,summarize,0,,1741,0
B0164,987c3e09-aee5-4be0-87ef-e830da7767d6,HIS-004,B,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,2,summarize,0,,628,0
B0165,aca52e73-cd28-48d0-8c73-5610b6dba0c9,HIS-007,B,gemini-1.5-pro,google/gemini-2.5-pro,3,explain,2,EMPTY,2,1
B0166,74597a63-cc66-43c5-976a-32dd88507c00,HIS-009,B,gpt-4o,openai/gpt-4o,3,summarize,0,,1242,0
B0167,aa2ed3ca-0a96-4d7b-85f1-94c7c187ce90,HIS-008,B,gemini-1.5-pro,google/gemini-2.5-pro,3,write,0,TRUNCATED,102,0
B0168,a91b5f45-0a16-485b-aac3-d3897e922c9a,HIS-001,B,gemini-1.5-pro,google/gemini-2.5-pro,1,describe,0,,89,0
B0169,086a87b9-22a4-4bfc-9b01-3dd8a6db5216,HIS-005,A,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,3,compare,0,,1648,0
B0170,2fc701dd-2045-4c5a-9e37-1750bf4317f1,HIS-001,C,gemini-1.5-pro,google/gemini-2.5-pro,1,describe,0,TRUNCATED Cond C,117,0
B0171,20200f7a-18c4-49ef-a923-9484a0102420,HIS-002,B,gpt-4o,openai/gpt-4o,3,explain,0,,582,0
B0172,a5a99a9b-d36e-48e8-8cbd-c986be920e5b,HIS-007,B,gpt-4o,openai/gpt-4o,3,explain,0,,367,0
B0173,5bd7d184-7f59-410a-8286-5168bce79983,HIS-008,B,gemini-1.5-pro,google/gemini-2.5-pro,2,write,0,TRUNCATED,105,0
B0174,9457ce13-f00d-4862-ac31-741fa2700cf9,HIS-009,A,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,2,summarize,0,,1459,0
B0175,7fa49215-aba9-4aa3-8e6b-d95a8390effc,HIS-004,B,gpt-4o,openai/gpt-4o,1,summarize,0,,384,0
B0176,86d3a341-d43e-4aac-8f85-2f17d7f81b59,HIS-003,C,gemini-1.5-pro,google/gemini-2.5-pro,2,write,0,TRUNCATED Cond C,91,0
B0177,d9054c40-a2f6-45bb-bd65-49dbd82b0f2b,HIS-003,B,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,3,write,0,,1038,0
B0178,781151a6-b371-4049-8de6-0e975e06e4e3,HIS-005,C,gemini-1.5-pro,google/gemini-2.5-pro,3,compare,0,TRUNCATED Cond C,154,0
B0179,76ee32b7-afa7-4e01-a5eb-02ff34f72d14,HIS-004,B,gemini-1.5-pro,google/gemini-2.5-pro,2,summarize,2,TRUNCATED,92,0
B0180,bbb34018-49f7-45fe-a318-a2e904516229,HIS-010,A,gpt-4o,openai/gpt-4o,3,compare,0,,1458,0
B0181,1874ec7c-1f3c-42fe-882a-fc7325dff373,HIS-004,C,gpt-4o,openai/gpt-4o,3,summarize,0,,2077,0
